RANK,School,REVENUES,2018_VALUE,2017_VALUE
80,San Diego State,"19,148,065","27,715,793","27,716,000"
81,Fresno State,"18,658,904","26,465,123","29,325,000"
82,North Texas,"15,870,821","26,435,533","29,266,000"
83,Hawaii,"16,823,588","26,284,393","26,284,000"
84,Florida International,"16,435,347","23,269,107","24,145,000"
85,UNLV,"14,741,875","22,116,472","21,772,000"
86,Ohio,"14,749,167","22,081,346","22,302,000"
87,Rice,"15,429,983","21,452,498","21,453,000"
88,Marshall,"13,067,058","20,707,560","21,483,000"
89,Akron,"12,354,872","20,494,710","20,235,000"
90,Middle Tennessee,"13,572,649","19,288,110","19,322,000"
91,Toledo,"13,339,849","18,735,651","18,736,000"
92,UTEP,"12,808,393","18,701,471","19,344,000"
93,Utah State,"13,904,944","18,304,858","18,305,000"
94,Nevada,"14,023,542","17,477,801","17,478,000"
95,Western Michigan,"12,863,908","17,133,922","17,134,000"
96,Western Kentucky,"13,764,592","16,531,955","16,532,000"
97,Buffalo,"12,283,034","15,885,812","16,090,000"
98,Northern Illinois,"10,300,855","15,728,575","16,141,000"
99,New Mexico,"16,789,019","15,380,142","15,380,000"
100,Troy,"13,247,801","15,220,137","14,879,000"
101,Southern Miss,"9,776,959","15,037,463","15,037,000"
102,Central Michigan,"12,314,270","14,350,461","14,350,000"
103,San Jose State,"10,923,665","14,180,098","21,370,000"
104,Florida Atlantic,"12,532,745","13,220,944","13,221,000"
105,Ball State,"9,959,351","12,701,434","12,701,000"
106,Miami - Ohio,"12,608,689","12,186,524","12,187,000"
107,Louisiana Lafayette,"11,804,496","11,828,816","11,829,000"
108,Eastern Michigan,"12,794,163","11,563,015","11,563,000"
109,Idaho,"10,133,503","11,126,188","10,513,000"
110,Kent State,"10,308,661","11,059,835","11,060,000"
111,Louisiana Tech,"10,385,387","10,836,280","10,836,000"
112,New Mexico State,"7,969,929","10,180,400","10,180,000"
113,Bowling Green,"8,370,915","9,592,814","9,915,000"
114,Arkansas State,"8,593,341","8,787,181","8,787,000"
115,Louisiana Monroe,"6,682,465","6,706,836","6,792,000"
